Building Type,Measure,System Type,Run Type,Climate Zone,Average Temperature,Average Electric Energy
ERC,M1,cDXHP,Measure,CZ16,25.15416666666667,9268255.470209861
ERC,M1,cPTAC,Base,CZ01,16.715000000000003,5129074.151683686
ERC,M1,cPTAC,Base,CZ02,25.97041666666667,8719918.287324077
ERC,M1,cPTAC,Base,CZ03,24.965,7064568.144413129
ERC,M1,cPTAC,Base,CZ04,32.625416666666666,11575294.34535237
ERC,M1,cPTAC,Base,CZ05,22.50375,6521319.176390027
ERC,M1,cPTAC,Base,CZ06,25.295833333333334,7951292.918422848
ERC,M1,cPTAC,Base,CZ07,25.2725,10306580.879307948
ERC,M1,cPTAC,Base,CZ08,32.28541666666666,11608206.870826896
ERC,M1,cPTAC,Base,CZ09,35.456250000000004,12918347.011849027
ERC,M1,cPTAC,Base,CZ10,35.55666666666667,12431853.253081977
ERC,M1,cPTAC,Base,CZ11,36.25708333333334,14150535.165182905
ERC,M1,cPTAC,Base,CZ12,33.139583333333334,11729833.169590637
ERC,M1,cPTAC,Base,CZ13,37.3975,14732479.495909598
ERC,M1,cPTAC,Base,CZ14,33.69791666666667,13052434.868882617
ERC,M1,cPTAC,Base,CZ15,42.32083333333334,17371959.35347994
ERC,M1,cPTAC,Base,CZ16,25.15416666666667,9504078.039730094
ERC,M1,cPTAC,Measure,CZ01,16.715000000000003,4523731.775686405
ERC,M1,cPTAC,Measure,CZ02,25.97041666666667,8039168.7116089985
ERC,M1,cPTAC,Measure,CZ03,24.965,6655790.500815087
ERC,M1,cPTAC,Measure,CZ04,32.625416666666666,11335127.066792231
ERC,M1,cPTAC,Measure,CZ05,22.50375,6080794.526385258
ERC,M1,cPTAC,Measure,CZ06,25.295833333333334,7392632.939484816
ERC,M1,cPTAC,Measure,CZ07,25.2725,10311503.561843965
ERC,M1,cPTAC,Measure,CZ08,32.28541666666666,11201864.638241852
ERC,M1,cPTAC,Measure,CZ09,35.456250000000004,12341001.740207171
ERC,M1,cPTAC,Measure,CZ10,35.55666666666667,11946214.563818214
ERC,M1,cPTAC,Measure,CZ11,36.25708333333334,13673319.074150763
ERC,M1,cPTAC,Measure,CZ12,33.139583333333334,11486306.461242035
ERC,M1,cPTAC,Measure,CZ13,37.3975,14217425.380654518
ERC,M1,cPTAC,Measure,CZ14,33.69791666666667,12548966.195444036
ERC,M1,cPTAC,Measure,CZ15,42.32083333333334,16804278.282657392
ERC,M1,cPTAC,Measure,CZ16,25.15416666666667,9210242.218179284
ERC,M1,cPVVG,Base,CZ01,16.715000000000003,3538046.0714405095
ERC,M1,cPVVG,Base,CZ02,25.97041666666667,7011768.292879844
ERC,M1,cPVVG,Base,CZ03,24.965,5325209.693576254
ERC,M1,cPVVG,Base,CZ04,32.625416666666666,9876620.007077396
ERC,M1,cPVVG,Base,CZ05,22.50375,4680432.708568201
ERC,M1,cPVVG,Base,CZ06,25.295833333333334,5967134.574367491
ERC,M1,cPVVG,Base,CZ07,25.2725,8538434.77178428
ERC,M1,cPVVG,Base,CZ08,32.28541666666666,9948634.069479138
ERC,M1,cPVVG,Base,CZ09,35.456250000000004,11361335.646625401
ERC,M1,cPVVG,Base,CZ10,35.55666666666667,10822877.216304988
ERC,M1,cPVVG,Base,CZ11,36.25708333333334,12691868.20342714
ERC,M1,cPVVG,Base,CZ12,33.139583333333334,10135097.414535154
ERC,M1,cPVVG,Base,CZ13,37.3975,13390433.559788808
ERC,M1,cPVVG,Base,CZ14,33.69791666666667,11508873.520287331
ERC,M1,cPVVG,Base,CZ15,42.32083333333334,16089732.5430294
ERC,M1,cPVVG,Base,CZ16,25.15416666666667,7466305.761390171
ERC,M1,cPVVG,Measure,CZ01,16.715000000000003,3356732.368755716
ERC,M1,cPVVG,Measure,CZ02,25.97041666666667,6938534.6534932
ERC,M1,cPVVG,Measure,CZ03,24.965,5301489.108974056
ERC,M1,cPVVG,Measure,CZ04,32.625416666666666,9977896.242700694
ERC,M1,cPVVG,Measure,CZ05,22.50375,4581227.103876604
ERC,M1,cPVVG,Measure,CZ06,25.295833333333334,5846688.238295071
ERC,M1,cPVVG,Measure,CZ07,25.2725,8642966.55152389
ERC,M1,cPVVG,Measure,CZ08,32.28541666666666,9816542.861456715
ERC,M1,cPVVG,Measure,CZ09,35.456250000000004,11044251.400845274
ERC,M1,cPVVG,Measure,CZ10,35.55666666666667,10612682.900877692
ERC,M1,cPVVG,Measure,CZ11,36.25708333333334,12417845.120701412
ERC,M1,cPVVG,Measure,CZ12,33.139583333333334,10205475.03420461
ERC,M1,cPVVG,Measure,CZ13,37.3975,13055117.66831283
ERC,M1,cPVVG,Measure,CZ14,33.69791666666667,11223809.331046674
ERC,M1,cPVVG,Measure,CZ15,42.32083333333334,15668226.880603937
ERC,M1,cPVVG,Measure,CZ16,25.15416666666667,7418708.403016603
ERC,M2,cDXGF,Base,CZ01,16.715000000000003,6191284.084246133
ERC,M2,cDXGF,Base,CZ02,25.97041666666667,8904505.636900174
ERC,M2,cDXGF,Base,CZ03,24.965,7749221.701943407
ERC,M2,cDXGF,Base,CZ04,32.625416666666666,10354692.204774324
ERC,M2,cDXGF,Base,CZ05,22.50375,7538023.248191863
ERC,M2,cDXGF,Base,CZ06,25.295833333333334,8352673.867375857
ERC,M2,cDXGF,Base,CZ07,25.2725,9934004.253196403
ERC,M2,cDXGF,Base,CZ08,32.28541666666666,10346552.516698666
ERC,M2,cDXGF,Base,CZ09,35.456250000000004,10850909.0029557
ERC,M2,cDXGF,Base,CZ10,35.55666666666667,10272181.976139404
ERC,M2,cDXGF,Base,CZ11,36.25708333333334,11780105.20944203
ERC,M2,cDXGF,Base,CZ12,33.139583333333334,10370233.056303997
ERC,M2,cDXGF,Base,CZ13,37.3975,12086747.92495728
ERC,M2,cDXGF,Base,CZ14,33.69791666666667,11364935.024154007
ERC,M2,cDXGF,Base,CZ15,42.32083333333334,13151323.32570501
ERC,M2,cDXGF,Base,CZ16,25.15416666666667,9849048.424886476
ERC,M2,cDXGF,Measure,CZ01,16.715000000000003,5453499.545955753
ERC,M2,cDXGF,Measure,CZ02,25.97041666666667,7821215.169910935
ERC,M2,cDXGF,Measure,CZ03,24.965,7062245.431525506
ERC,M2,cDXGF,Measure,CZ04,32.625416666666666,9873896.443929676
ERC,M2,cDXGF,Measure,CZ05,22.50375,6837784.629189659
ERC,M2,cDXGF,Measure,CZ06,25.295833333333334,7617706.404109055
ERC,M2,cDXGF,Measure,CZ07,25.2725,9833629.232044306
ERC,M2,cDXGF,Measure,CZ08,32.28541666666666,9818994.546483781
ERC,M2,cDXGF,Measure,CZ09,35.456250000000004,10279160.543109693
ERC,M2,cDXGF,Measure,CZ10,35.55666666666667,9746059.6099189
ERC,M2,cDXGF,Measure,CZ11,36.25708333333334,11457425.279530047
ERC,M2,cDXGF,Measure,CZ12,33.139583333333334,9933171.915941589
ERC,M2,cDXGF,Measure,CZ13,37.3975,11788424.512483545
ERC,M2,cDXGF,Measure,CZ14,33.69791666666667,10957562.363630403
ERC,M2,cDXGF,Measure,CZ15,42.32083333333334,12802335.934704997
ERC,M2,cDXGF,Measure,CZ16,25.15416666666667,9493204.775933087
ERC,M2,cDXHP,Base,CZ01,16.715000000000003,6143539.586939677
ERC,M2,cDXHP,Base,CZ02,25.97041666666667,8849782.76250566
ERC,M2,cDXHP,Base,CZ03,24.965,7689698.898166264
ERC,M2,cDXHP,Base,CZ04,32.625416666666666,10288407.554689897
ERC,M2,cDXHP,Base,CZ05,22.50375,7490915.254986637
ERC,M2,cDXHP,Base,CZ06,25.295833333333334,8317460.515503598
ERC,M2,cDXHP,Base,CZ07,25.2725,9891621.548298407
ERC,M2,cDXHP,Base,CZ08,32.28541666666666,10320328.686089192
ERC,M2,cDXHP,Base,CZ09,35.456250000000004,10829494.471294854
ERC,M2,cDXHP,Base,CZ10,35.55666666666667,10258849.285507865
ERC,M2,cDXHP,Base,CZ11,36.25708333333334,11752147.607954431
ERC,M2,cDXHP,Base,CZ12,33.139583333333334,10330966.92345483
ERC,M2,cDXHP,Base,CZ13,37.3975,12072127.558295926
ERC,M2,cDXHP,Base,CZ14,33.69791666666667,11330522.445796259
ERC,M2,cDXHP,Base,CZ15,42.32083333333334,13151323.325704895
ERC,M2,cDXHP,Base,CZ16,25.15416666666667,9837213.510091743
ERC,M2,cDXHP,Measure,CZ01,16.715000000000003,5404715.440292681
ERC,M2,cDXHP,Measure,CZ02,25.97041666666667,7765172.533444388
ERC,M2,cDXHP,Measure,CZ03,24.965,7002563.957040627
ERC,M2,cDXHP,Measure,CZ04,32.625416666666666,9807521.538405206
ERC,M2,cDXHP,Measure,CZ05,22.50375,6791420.294354664
ERC,M2,cDXHP,Measure,CZ06,25.295833333333334,7582025.611007437
ERC,M2,cDXHP,Measure,CZ07,25.2725,9789871.963954818
ERC,M2,cDXHP,Measure,CZ08,32.28541666666666,9792616.982707456
ERC,M2,cDXHP,Measure,CZ09,35.456250000000004,10257920.045936547
ERC,M2,cDXHP,Measure,CZ10,35.55666666666667,9732909.77671258
ERC,M2,cDXHP,Measure,CZ11,36.25708333333334,11437532.537901033
ERC,M2,cDXHP,Measure,CZ12,33.139583333333334,9894259.5696948
ERC,M2,cDXHP,Measure,CZ13,37.3975,11782039.436677579
ERC,M2,cDXHP,Measure,CZ14,33.69791666666667,10923001.36669126
ERC,M2,cDXHP,Measure,CZ15,42.32083333333334,12802335.934704918
ERC,M2,cDXHP,Measure,CZ16,25.15416666666667,9482148.0988174
ERC,M2,cPTAC,Base,CZ01,16.715000000000003,6191284.084244762
ERC,M2,cPTAC,Base,CZ02,25.97041666666667,8904505.636901382
ERC,M2,cPTAC,Base,CZ03,24.965,7749221.701943986
ERC,M2,cPTAC,Base,CZ04,32.625416666666666,10354692.204774454
ERC,M2,cPTAC,Base,CZ05,22.50375,7538023.248189862
ERC,M2,cPTAC,Base,CZ06,25.295833333333334,8352673.867375906
ERC,M2,cPTAC,Base,CZ07,25.2725,9934004.253196372
ERC,M2,cPTAC,Base,CZ08,32.28541666666666,10346552.516698636
ERC,M2,cPTAC,Base,CZ09,35.456250000000004,10850909.002955835
ERC,M2,cPTAC,Base,CZ10,35.55666666666667,10272181.97613933
ERC,M2,cPTAC,Base,CZ11,36.25708333333334,11780105.20944231
ERC,M2,cPTAC,Base,CZ12,33.139583333333334,10370233.056303773
ERC,M2,cPTAC,Base,CZ13,37.3975,12086747.92495836
ERC,M2,cPTAC,Base,CZ14,33.69791666666667,11364935.024153784
ERC,M2,cPTAC,Base,CZ15,42.32083333333334,13151323.325704895
ERC,M2,cPTAC,Base,CZ16,25.15416666666667,9849048.424887571
ERC,M2,cPTAC,Measure,CZ01,16.715000000000003,5452548.92754438
ERC,M2,cPTAC,Measure,CZ02,25.97041666666667,7821215.16991115
ERC,M2,cPTAC,Measure,CZ03,24.965,7062245.431525949
ERC,M2,cPTAC,Measure,CZ04,32.625416666666666,9873896.443929313
ERC,M2,cPTAC,Measure,CZ05,22.50375,6837781.590906927
ERC,M2,cPTAC,Measure,CZ06,25.295833333333334,7617706.404109179
ERC,M2,cPTAC,Measure,CZ07,25.2725,9833629.232042778
ERC,M2,cPTAC,Measure,CZ08,32.28541666666666,9818994.54648391
ERC,M2,cPTAC,Measure,CZ09,35.456250000000004,10279160.543049503
ERC,M2,cPTAC,Measure,CZ10,35.55666666666667,9746059.607431656
ERC,M2,cPTAC,Measure,CZ11,36.25708333333334,11457425.279529342
ERC,M2,cPTAC,Measure,CZ12,33.139583333333334,9933171.915940922
ERC,M2,cPTAC,Measure,CZ13,37.3975,11788424.51248393
ERC,M2,cPTAC,Measure,CZ14,33.69791666666667,10957562.363629844
