Filename,Measure,BldgType,BldgLoc,BldgHVAC,Run Type,Cooling Capacity,Heating Capacity,Conditioned Area,Electricity Heating,Natural Gas Heating,Electricity Cooling,Electricity Fans,Unmet Hours Heating,Unmet Hours Cooling
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ16\RtL\M2-cPTAC-Base\instance0819141117\eplustbl.csv,M2,RtL,CZ16,cPTAC,Base,915185.92,0.0,12123.99,0.0,0.0,478294.63,816187.43,1301.0,53.33
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ01\RtL\M2-cPTAC-Measure\instance0819145353\eplustbl.csv,M2,RtL,CZ01,cPTAC,Measure,672962.5099999999,0.0,12123.99,0.0,0.0,337211.42,368245.0,1483.17,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ02\RtL\M2-cPTAC-Measure\instance0819162135\eplustbl.csv,M2,RtL,CZ02,cPTAC,Measure,915878.4199999999,0.0,12123.99,0.0,0.0,418478.02,405356.71,902.5,1.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ03\RtL\M2-cPTAC-Measure\instance0819174305\eplustbl.csv,M2,RtL,CZ03,cPTAC,Measure,766665.92,0.0,12123.99,0.0,0.0,395906.78,375684.34,692.17,1.83
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ04\RtL\M2-cPTAC-Measure\instance0819192627\eplustbl.csv,M2,RtL,CZ04,cPTAC,Measure,1064674.91,0.0,12123.99,0.0,0.0,471942.92,431317.57,662.83,5.17
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ05\RtL\M2-cPTAC-Measure\instance0819205826\eplustbl.csv,M2,RtL,CZ05,cPTAC,Measure,772600.9600000001,0.0,12123.99,0.0,0.0,399899.72,384147.15,530.33,1.17
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ06\RtL\M2-cPTAC-Measure\instance0819224917\eplustbl.csv,M2,RtL,CZ06,cPTAC,Measure,803174.3500000001,0.0,12123.99,0.0,0.0,448318.16,402752.82,134.83,8.83
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ07\RtL\M2-cPTAC-Measure\instance0820003209\eplustbl.csv,M2,RtL,CZ07,cPTAC,Measure,827837.9200000002,0.0,12123.99,0.0,0.0,451202.35,404145.06,86.33,8.83
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ08\RtL\M2-cPTAC-Measure\instance0820022348\eplustbl.csv,M2,RtL,CZ08,cPTAC,Measure,973003.93,0.0,12123.99,0.0,0.0,495988.58,423192.64,170.83,12.17
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ09\RtL\M2-cPTAC-Measure\instance0820042316\eplustbl.csv,M2,RtL,CZ09,cPTAC,Measure,1012393.19,0.0,12123.99,0.0,0.0,501199.79,434596.83,219.33,12.83
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ10\RtL\M2-cPTAC-Measure\instance0820062145\eplustbl.csv,M2,RtL,CZ10,cPTAC,Measure,1052266.9100000001,0.0,12123.99,0.0,0.0,509322.17,423720.58,174.33,13.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ11\RtL\M2-cPTAC-Measure\instance0820081852\eplustbl.csv,M2,RtL,CZ11,cPTAC,Measure,1139024.8499999999,0.0,12123.99,0.0,0.0,503873.65,439844.54,777.0,21.83
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ12\RtL\M2-cPTAC-Measure\instance0820100306\eplustbl.csv,M2,RtL,CZ12,cPTAC,Measure,1035306.6500000001,0.0,12123.99,0.0,0.0,467300.71,424429.41,737.5,10.83
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ13\RtL\M2-cPTAC-Measure\instance0820115201\eplustbl.csv,M2,RtL,CZ13,cPTAC,Measure,1119772.44,0.0,12123.99,0.0,0.0,526125.86,438991.32,575.83,25.17
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ14\RtL\M2-cPTAC-Measure\instance0820093533\eplustbl.csv,M2,RtL,CZ14,cPTAC,Measure,1080340.8299999998,0.0,12123.99,0.0,0.0,516461.55,453509.53,624.0,20.33
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ15\RtL\M2-cPTAC-Measure\instance0819224936\eplustbl.csv,M2,RtL,CZ15,cPTAC,Measure,1214328.9800000002,0.0,12123.99,0.0,0.0,648830.31,445080.41,54.0,35.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ16\RtL\M2-cPTAC-Measure\instance0819141051\eplustbl.csv,M2,RtL,CZ16,cPTAC,Measure,915185.92,0.0,12123.99,0.0,4.32,418143.92,500599.08,1641.0,3.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ01\RtL\M2-cPVVG-Base\instance0819145415\eplustbl.csv,M2,RtL,CZ01,cPVVG,Base,664121.33,821073.62,12123.99,0.0,27707.39,319317.94,295921.84,21.17,7.5
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ02\RtL\M2-cPVVG-Base\instance0819162158\eplustbl.csv,M2,RtL,CZ02,cPVVG,Base,915878.4199999999,885517.9299999998,12123.99,0.0,18111.9,394602.76,314910.06,14.33,19.83
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ03\RtL\M2-cPVVG-Base\instance0819174330\eplustbl.csv,M2,RtL,CZ03,cPVVG,Base,766665.92,783978.91,12123.99,0.0,11247.47,376398.18,306097.79,10.17,29.83
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ04\RtL\M2-cPVVG-Base\instance0819192654\eplustbl.csv,M2,RtL,CZ04,cPVVG,Base,1064674.91,916487.49,12123.99,0.0,15114.6,446480.66,331113.21,12.17,26.17
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ05\RtL\M2-cPVVG-Base\instance0819205856\eplustbl.csv,M2,RtL,CZ05,cPVVG,Base,772600.9600000001,818067.8699999999,12123.99,0.0,9339.66,379898.49,313763.29,6.67,19.67
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ06\RtL\M2-cPVVG-Base\instance0819224950\eplustbl.csv,M2,RtL,CZ06,cPVVG,Base,803174.3500000001,738117.8,12123.99,0.0,2642.94,428941.68,339104.34,1.33,41.83
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ07\RtL\M2-cPVVG-Base\instance0820003236\eplustbl.csv,M2,RtL,CZ07,cPVVG,Base,827837.9200000002,742830.5,12123.99,0.0,2099.69,430927.6,337206.35,0.67,41.17
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ08\RtL\M2-cPVVG-Base\instance0820022415\eplustbl.csv,M2,RtL,CZ08,cPVVG,Base,973003.93,805923.27,12123.99,0.0,3513.45,472151.25,342265.69,1.17,37.83
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ09\RtL\M2-cPVVG-Base\instance0820042347\eplustbl.csv,M2,RtL,CZ09,cPVVG,Base,1012393.19,815280.53,12123.99,0.0,4907.96,476123.3,347492.65,3.67,36.33
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ10\RtL\M2-cPVVG-Base\instance0820062215\eplustbl.csv,M2,RtL,CZ10,cPVVG,Base,1052266.9100000001,819996.1399999999,12123.99,0.0,3868.19,485328.98,335671.04,2.67,36.33
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ11\RtL\M2-cPVVG-Base\instance0820081922\eplustbl.csv,M2,RtL,CZ11,cPVVG,Base,1139024.8499999999,905882.7100000001,12123.99,0.0,17491.97,478735.95,335094.29,12.0,35.5
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ12\RtL\M2-cPVVG-Base\instance0820100334\eplustbl.csv,M2,RtL,CZ12,cPVVG,Base,1035306.6500000001,890106.2799999999,12123.99,0.0,16371.0,442539.67,327102.45,13.5,32.17
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ13\RtL\M2-cPVVG-Base\instance0820115229\eplustbl.csv,M2,RtL,CZ13,cPVVG,Base,1119772.44,886122.03,12123.99,0.0,13060.48,501880.49,341116.82,10.83,39.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ14\RtL\M2-cPVVG-Base\instance0820093244\eplustbl.csv,M2,RtL,CZ14,cPVVG,Base,1080340.8299999998,897970.5099999999,12123.99,0.0,14788.68,490812.95,354133.41,13.17,37.5
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ15\RtL\M2-cPVVG-Base\instance0819224607\eplustbl.csv,M2,RtL,CZ15,cPVVG,Base,1214328.9800000002,818966.1200000001,12123.99,0.0,1711.85,627294.47,358836.34,0.83,49.83
